證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,本益比,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
1520,D 復盛       ,199712,13119,12.99,1.9802,0.57478,0.31544,0.10183,0.2563,0.1235,0.15939,1.517,107.56,48.05,2.61,7.75,93.99,124.17,-8.699,1
1229,聯華         ,199712,12899,11.1,11.5625,0.79627,2.0983,0.052486,0.068859,0.051623,0.18161,0.31195,99.43,71.74,5.68,5.25,-36.4,16,-13.6036,1
2107,厚生         ,199712,12864,28.27,39.8169,2.1224,3.7845,0.029423,0.053554,0.082599,0.095482,0.82015,193.12,118.55,2.1,8.22,67.85,25.08,-27.0605,-1
2606,裕民         ,199712,12801,5.47,4.8839,0.38905,0.80323,0.038268,0.079493,0.19085,0.16408,1.0773,165.06,146.45,0,17.22,6.5,21.25,-26.5082,-1
2340,光磊         ,199712,12400,47.91,13.9679,2.5336,2.3497,0.12313,0.1681,0.15935,0.15586,0.3652,289.88,173.97,2.37,3.38,193.81,199.27,-12.774,1
9925,新保         ,199712,12264,17.82,4.1538,0.65323,0.80018,0.11293,0.14475,0.1735,0.17732,0.28181,290.57,277.86,344.33,14.21,12.47,39.86,-28.3389,-1
2316,楠梓電       ,199712,12238,25.73,8.5482,1.6675,1.1658,0.1029,0.16754,0.13885,0.13621,0.62821,113.18,83.78,6.74,5.16,6.61,40.3,62.2231,1
1227,佳格         ,199712,12205,19.39,7.4291,1.3522,0.82405,0.12629,0.18216,0.14379,0.11104,0.44236,226.75,145.02,4.73,7.01,13.2,-7.33,-6.4982,1
2023,燁輝         ,199712,12000,7.08,3.746,0.48963,0.31481,0.065225,0.1305,0.12015,0.083907,1.0008,111.82,54.78,6.32,8.96,67.59,81.39,-27.8249,-1
2015,豐興         ,199712,11996,11.33,37.7667,0.8824,0.56089,0.011817,0.023536,0.055916,0.014956,0.99167,91.64,24.17,4.43,20.99,60711.67,-33.55,-56.3989,-1
1313,聯成         ,199712,11987,11.9,-74.375,0.92177,0.98104,-0.0067741,-0.012215,0.031886,-0.013075,0.80318,325.27,220.5,5.88,7.83,-73.71,-113.07,-28.6555,-1
9910,豐泰         ,199712,11963,12.98,2.8844,0.73583,0.21171,0.14447,0.23842,0.048042,0.0734,0.65038,78.09,46,16.67,13.01,25.18,71.8,-9.4761,1
1460,宏遠         ,199712,11688,17.5,8.2938,1.2272,0.80757,0.10119,0.14767,0.096337,0.09715,0.4593,169.55,68.69,4.1,7.47,89.46,122,7.4286,1
2336,D 致伸       ,199712,11636,24.95,7.0282,1.1853,0.52328,0.066714,0.16697,0.039709,0.074155,1.5027,171.37,104.53,4.47,4.62,-40.29,8.3,-36.2725,-1
1513,中興電       ,199712,11439,11.22,11.6875,0.91071,0.37263,0.018823,0.068143,0.030332,0.027891,2.6202,132.98,40.87,3.34,7.91,-15.88,42.87,-43.1373,-1
2332,友訊         ,199712,11332,14.87,5.0578,0.78304,0.44138,0.084024,0.15007,0.061529,0.084569,0.78601,226.93,132.01,2.93,4.56,-7.1,38.07,51.1769,1
2363,矽統         ,199712,11320,21.28,21.9381,1.701,2.1216,0.059912,0.077473,-0.025922,0.0966,0.29313,262.71,200.3,5.18,5.24,-116.07,-52.58,90.8365,1
8716,尖美         ,199712,11149,37.43,44.0353,2.4674,5.5288,0.025752,0.052778,0.17615,0.11824,1.0495,179.74,28.3,0.28,2.61,-20.01,-18.86,-14.7742,1
9902,台火         ,199712,11149,113.74,37.7874,7.5275,5.7824,0.095478,0.19257,0.076803,0.15324,1.0169,95.44,45.03,4.64,4.4,4091.55,308.71,-39.643,-1
4506,崇友         ,199712,11106,18.83,7.781,1.0785,0.94291,0.088422,0.1387,0.12845,0.12125,0.56862,182.22,106.13,2.78,4.4,-21.04,-13.36,-23.4201,-1
1608,華榮         ,199712,11051,10.7,7.9259,0.71238,0.76978,0.069446,0.090028,0.089284,0.097285,0.29637,418.47,283.49,6.61,8.48,-13.1,-6.14,-18.5047,1
1444,力麗         ,199712,10954,15.83,6.8826,0.88485,1.353,0.087277,0.12707,0.092135,0.18904,0.45593,101.14,55.76,9.11,10.64,34.1,54.8,-38.5344,-1
2019,桂宏         ,199712,10833,26.34,71.1892,1.635,1.9283,0.011394,0.019596,0.035384,0.023109,0.71982,135.04,88.23,7.58,9.68,162.87,130.9,-35.0797,-1
1107,建台         ,199712,10784,31.7,-144.0909,2.6091,12.4314,-0.010217,-0.01826,-0.11267,-0.08699,0.78728,173.8,37.32,0.23,3.53,-174.66,-136.51,-48.7382,-1
1436,福益         ,199712,10541,25.79,36.3239,1.8688,5.4067,0.041286,0.051081,-0.04746,0.14778,0.23724,141.78,47.66,2.16,10.97,5.46,17.6,-67.2741,-1
2614,東森         ,199712,10515,11.11,6.3486,0.69481,1.4189,0.039933,0.095634,0.13974,0.19529,1.3949,421.2,95.1,0.84,17.56,-14.55,53.68,-35.0135,-1
2029,盛餘         ,199712,10500,13.94,5.8819,0.77358,0.42695,0.092407,0.11579,0.079937,0.063921,0.25303,412.58,238.96,8.97,17.55,54.81,53.43,-44.1894,-1
8725,三采         ,199712,10485,83.7,27.9,4.2273,5.3619,0.061282,0.13361,0.14776,0.16955,1.1803,260.58,33.58,0.5,5.99,42.56,80.7,-76.583,-1
2512,寶建         ,199712,10389,20.08,43.6522,1.3316,2.6989,0.015987,0.030163,0.065691,0.061332,0.88677,254.88,13.47,0.29,46.69,-24.88,-8.42,-18.7251,1
1442,名軒         ,199712,10335,215.82,48.8281,11.0507,17.7047,0.12581,0.20575,0.1888,0.32954,0.63541,208.74,53.8,0.69,5.41,539.97,1422.64,-41.6273,-1
1902,台紙         ,199712,10304,36.8,-115,2.8505,5.0342,-0.012313,-0.024545,0.025685,-0.043331,0.9934,101.71,28.1,1.34,5.47,160.92,45.31,-40.7609,-1
1711,永光         ,199712,10270,21.78,12.0331,1.5783,1.2865,0.081323,0.13116,0.14547,0.10692,0.61288,134.92,56.58,2.44,4.68,46.8,35.01,-23.2323,-1
2361,鴻友         ,199712,10231,166.59,46.275,8.2064,4.3667,0.072313,0.14892,0.049606,0.079243,1.0593,211.95,111.07,2.68,5.35,-41.56,-3.04,-48.8145,-1
1408,中紡         ,199712,10230,18.72,-89.1429,1.7829,1.6069,-0.0069466,-0.019781,0.0071253,-0.017827,1.8476,73.8,30.79,3.29,8.16,114.03,84.66,-33.6004,-1
